,transliteration,sorting,period,base,logogram,morpheme_1,morpheme_2,morpheme_3,sense_hk,certainty-weight_hk,sense_hk_qid,certainty-weight_MEGA,sense_MEGA_qid,POS,number,person,category,transliteration original,unicode,roman,count,is_match
11783,hw u m ban nu kaš,umbannukas~,nE,,,,,,,,,,,PN,,,PN,hw.u[m-ban.nu]-kaš,𒁁 𒌝 𒉼 𒉡 𒁉,False,0,False
11784,hw ud da da,uddada,nE,,,,,,,,,,,PN,,,PN,hw.ud-da-da,𒁁 𒌓 𒁕 𒁕,False,0,False
11785,hw uk ku ra,ukkura,nE,,,,,,,,,,,PN,,,PN,hw.uk-ku-ra,𒁁 𒊌 𒆪 𒊏,False,0,False
11786,hw ul li ut na ki tam6,ulliutnakitam6,nE,,,,,,,,,,,PN,,,PN,hw.ul-li-ut?-na-ki-tam6,𒁁 𒌌 𒇷 𒌓 𒈾 𒆠 𒁶,False,0,False
11787,hw um ba ba,umbaba,"nE, achE",,,,,,,,,,,PN,,,PN,hw.um-ba-ba,𒁁 𒌝 𒁀 𒁀,False,0,False
11788,hw um ba zí zí,umbazizi,nE,,,,,,,,,,,PN,,,PN,hw.um-ba-zí-zí,𒁁 𒌝 𒁀 𒍢 𒍢,False,0,False
11789,hw um be da da,umbedada,nE,,,,,,,,,,,PN,,,PN,hw.um-be-da-da,𒁁 𒌝 𒁁 𒁕 𒁕,False,0,False
11790,hw um be nu iš,umbenuis~,nE,,,,,,,,,,,PN,,,PN,hw.um-be-nu-iš,𒁁 𒌝 𒁁 𒉡 𒅖,False,0,False
11791,hw um be ri iš,umberiis~,nE,,,,,,,,,,,PN,,,PN,hw.um-be-ri-iš,𒁁 𒌝 𒁁 𒊑 𒅖,False,0,False
11792,hw um ma na na,ummanana,achE,,,,,,,,,,,PN,,,PN,hw.um-ma-na-na,𒁁 𒌝 𒈠 𒈾 𒈾,False,0,False
11793,hw um ma na u nu,ummanaunu,achE,,,,,,,,,,,PN,,,PN,hw.um-ma-na-u-nu,𒁁 𒌝 𒈠 𒈾 𒌋 𒉡,False,0,False
11794,hw um man da da,ummandada,nE,,,,,,,,,,,PN,,,PN,hw.um-man-da-da,𒁁 𒌝 𒌋𒌋 𒁕 𒁕,False,0,False
11795,hw um me na …,ummena,nE,,,,,,,,,,,PN,,,PN,hw.um-me-na-[…],𒁁 𒌝 𒈨 𒈾 …,False,0,False
11796,hw um ban hal taš,umbanhaltas~,nE,,,,,,,,,,,PN,,,PN,hw.um?-ban?.hal-taš,𒁁 𒌝 𒉼 𒄬 𒌨,False,0,False
