,txtid,lnr,cth_number,word,translit,gloss,trans_de
147622,KBo 65.283,2′,670,ninnattan,{D}ni-in-n]a-at-ta-an,DN.ACC.SG.C,Ne/inat(t)a
147623,KBo 65.283,2′,670,kulittan,{D}ku-[l]i-[it-ta-an,DN.ACC.SG.C,Kulitta
147624,KBo 65.283,3′,670,3,⸢3⸣,QUANcar,drei
147625,KBo 65.283,6′,670,1,1,QUANcar,ein
147626,KBo 65.283,7′,670,6,⸢6⸣[,QUANcar,sechs
147627,KBo 65.278,r. Kol. 4′!,670,5,5,QUANcar,fünf
147628,KBo 65.279,4′,670,15,15,QUANcar,15
147629,KBo 65.279,5′,670,nu,nu,CONNn,' nu
147630,KBo 65.152,4″,670,taškanzi,da-aš-ká[n-zi,3PL.PRS.IMPF,nehmen
147631,KBo 65.152,5″,670,ḫarzi,ḫar-z[i,3SG.PRS,haben
147632,KBo 65.154,2′,670,ekuzi,]⸢e⸣-ku-zi,3SG.PRS,trinken
147633,KBo 65.244,2′,670,13,13,QUANcar,13
147634,KBo 65.140,5′,670,IŠ-PUR,~I]Š-⸢PUR⸣~,3SG.PST,schicken
147635,KBo 65.144,2′,670,paizi,p]a-iz-zi,3SG.PRS,gehen
147636,KBo 65.145,2′,670,n+2,[n]+2,QUANcar,n+2
147637,KBo 65.229,2′,670,1,1,QUANcar,ein
147638,KBo 65.171,1′,670,1,1,QUANcar,ein
147639,KBo 65.218,7′,670,nu,⸢nu⸣,CONNn,' nu
147640,KBo 65.218,10′,670,1,1,QUANcar,ein
